# x_i   c0_i    c1_i    c2_i    c3_i
0.00000000e+00 -1.71503728e+00 5.55111512e-17 -4.76760677e-03 1.91232120e-02
3.06276515e-02 1.77770008e+00 -1.57582693e-01 -9.59399458e-03 1.89279178e-02
6.12553031e-02 -2.67676852e+00 5.75764338e-03 -1.42440393e-02 1.85373293e-02
9.18829546e-02 7.72390417e-01 -2.40191757e-01 -2.14242056e-02 1.80295643e-02
1.22510606e-01 2.30620139e+00 -1.69222244e-01 -3.39635950e-02 1.71702696e-02
1.53138258e-01 -4.80715106e-01 4.26783536e-02 -3.78393372e-02 1.60375630e-02
1.83765909e-01 -4.46183276e+00 -1.49117068e-03 -3.65778705e-02 1.49048564e-02
2.14393561e-01 6.09257075e+00 -4.11457548e-01 -4.92255199e-02 1.36549733e-02
2.45021212e-01 4.84008737e-01 1.48345854e-01 -5.72840132e-02 1.19363840e-02
2.75648864e-01 -5.30961117e+00 1.92818007e-01 -4.68349653e-02 1.03349712e-02
3.06276515e-01 4.44046875e+00 -2.95044755e-01 -4.99659305e-02 8.92885266e-03
3.36904167e-01 -1.57628569e+00 1.12958633e-01 -5.55428008e-02 7.24932220e-03
3.67531818e-01 5.94316580e+00 -3.18751529e-02 -5.30594042e-02 5.60885058e-03
3.98159470e-01 -1.13203994e+01 5.14200480e-01 -3.82869122e-02 4.12461435e-03
4.28787122e-01 8.31590234e-01 -5.25951262e-01 -3.86468110e-02 3.10908430e-03
4.59414773e-01 2.15522679e+01 -4.49542294e-01 -6.85238877e-02 1.45594495e-03
4.90042425e-01 -2.44670446e+01 1.53074376e+00 -3.54092259e-02 -4.45270868e-04
5.20670076e-01 1.01414623e+01 -7.17360582e-01 -1.04972093e-02 -7.96800500e-04
5.51297728e-01 2.15162608e-01 2.14466937e-01 -2.58996607e-02 -1.49985976e-03
5.81925379e-01 -4.20462639e+00 2.34236713e-01 -1.21569216e-02 -2.08574249e-03
6.12553031e-01 4.36786754e+00 -1.52096783e-01 -9.64116849e-03 -2.35915442e-03
6.43180682e-01 -1.03136840e+00 2.49235793e-01 -6.66602875e-03 -2.67162521e-03
6.73808334e-01 -1.60189123e+00 1.54470617e-01 5.69855049e-03 -2.67162521e-03
7.04435985e-01 6.41446971e-01 7.28411823e-03 1.06527182e-02 -2.39821327e-03
7.35063637e-01 -9.63896659e-01 6.62221612e-02 1.29040429e-02 -2.04668364e-03
7.65691288e-01 3.21413966e+00 -2.23435118e-02 1.42479429e-02 -1.61703631e-03
7.96318940e-01 -9.17366746e+00 2.72981137e-01 2.19243847e-02 -1.10927128e-03
8.26946592e-01 1.44475685e+01 -5.69922534e-01 1.28297671e-02 -4.45270868e-04
8.57574243e-01 -7.69573870e+00 7.57562744e-01 1.85767460e-02 -1.71858931e-04
8.88201895e-01 -8.54341364e+00 5.04555341e-02 4.33244483e-02 8.86635850e-04
9.18829546e-01 1.10088053e+01 -7.34538554e-01 2.23725919e-02 2.01543656e-03
9.49457198e-01 -2.99982304e+00 2.76983007e-01 8.35874006e-03 2.32790734e-03
9.80084849e-01 -3.69010434e-01 1.35040261e-03 1.68834387e-02 2.75755467e-03
1.01071250e+00 -9.62124287e-01 -3.25553663e-02 1.59277040e-02 3.26531970e-03
1.04134015e+00 1.49851305e+00 -1.20958189e-01 1.12259443e-02 3.69496702e-03
1.07196780e+00 -9.53436117e-01 1.67296181e-02 8.03366798e-03 3.96837896e-03
1.10259546e+00 -4.03763113e-01 -7.08749094e-02 6.37532487e-03 4.20273205e-03
1.13322311e+00 -1.50505963e-01 -1.07973857e-01 8.97607166e-04 4.31990859e-03
1.16385076e+00 2.36528423e+00 -1.21802790e-01 -6.13991191e-03 4.24179090e-03
1.19447841e+00 -2.51314463e+00 9.55265139e-02 -6.94469253e-03 4.00743781e-03
1.22510606e+00 8.89807973e-01 -1.35388640e-01 -8.16557585e-03 3.81214357e-03
1.25573371e+00 1.67290727e+00 -5.36304548e-02 -1.39547868e-02 3.46061394e-03
1.28636136e+00 -2.14344800e+00 1.00081208e-01 -1.25321093e-02 3.03096661e-03
1.31698902e+00 1.03398403e-01 -9.68651272e-02 -1.24336083e-02 2.67943698e-03
1.34761667e+00 5.80834619e+00 -8.73645764e-02 -1.80761315e-02 2.21073080e-03
1.37824432e+00 -1.11013078e+01 4.46323433e-01 -7.08206472e-03 1.74202462e-03
1.40887197e+00 6.71049441e+00 -5.73697524e-01 -1.09832340e-02 1.62484808e-03
1.43949962e+00 5.14615173e+00 4.28825298e-02 -2.72408507e-02 9.43093640e-04
1.47012727e+00 -8.75650224e+00 5.15726155e-01 -1.01319785e-02 2.96847245e-04
1.50075493e+00 4.66736249e+00 -2.88847143e-01 -3.18320718e-03 2.18729549e-04
1.53138258e+00 -1.75596412e+00 1.40003913e-01 -7.74192575e-03 -1.56235392e-05
1.56201023e+00 2.35649399e+00 -2.13392585e-02 -4.10750606e-03 -1.71858931e-04
1.59263788e+00 -3.59152005e+00 1.95182372e-01 1.21690024e-03 -2.49976627e-04
1.62326553e+00 3.85260260e+00 -1.34817101e-01 3.06574671e-03 -1.32800083e-04
1.65389318e+00 -5.02140402e+00 2.19171408e-01 5.64932103e-03 -5.46823873e-05
1.68452083e+00 6.71653260e+00 -2.42210029e-01 4.94370218e-03 1.79670701e-04
1.71514849e+00 -2.81176467e+00 3.74924831e-01 9.00844489e-03 2.96847245e-04
1.74577614e+00 -6.34545204e+00 1.16571585e-01 2.40618259e-02 8.43671118e-04
1.77640379e+00 7.80111383e+00 -4.66467296e-01 1.33453420e-02 1.50767153e-03
1.80703144e+00 -3.10704702e+00 2.50322092e-01 6.72532198e-03 1.70296577e-03
1.83765909e+00 5.48582469e-01 -3.51625689e-02 1.33151529e-02 2.05449541e-03
1.86828674e+00 -4.46780120e-01 1.52428093e-02 1.27050574e-02 2.44508389e-03
1.89891440e+00 -1.20959257e-01 -2.58086682e-02 1.23814500e-02 2.83567237e-03
1.92954205e+00 -4.28880120e-01 -3.69227621e-02 1.04601336e-02 3.18720200e-03
1.96016970e+00 1.83647974e+00 -7.63295347e-02 6.99148170e-03 3.46061394e-03
1.99079735e+00 -2.83854703e+00 9.24116496e-02 7.48403911e-03 3.65590818e-03
2.02142500e+00 1.36072478e+00 -1.68402438e-01 5.15661972e-03 3.89026126e-03
2.05205265e+00 1.14642435e-01 -4.33750248e-02 -1.32962662e-03 3.92932011e-03
2.08268030e+00 -4.59797255e-01 -3.28413392e-02 -3.66395486e-03 3.85120242e-03
2.11330796e+00 3.65049319e-01 -7.50888695e-02 -6.96960368e-03 3.69496702e-03
2.14393561e+00 3.59097243e-01 -4.15470595e-02 -1.05418883e-02 3.42155509e-03
2.17456326e+00 -4.41941026e-01 -8.55214377e-03 -1.20763092e-02 3.07002546e-03
2.20519091e+00 2.76816413e+00 -4.91589910e-02 -1.38438657e-02 2.67943698e-03
2.23581856e+00 -6.55222369e+00 2.05188108e-01 -9.06506032e-03 2.28884850e-03
2.26644621e+00 1.10613269e+00 -3.96849564e-01 -1.49352006e-02 2.01543656e-03
2.29707387e+00 1.20326016e+01 -2.95214824e-01 -3.61315075e-02 1.21752009e-03
2.32770152e+00 -1.29185406e+01 8.10376161e-01 -2.03533256e-02 1.79670701e-04
2.35832917e+00 4.87727370e+00 -3.76617521e-01 -7.06831716e-03 -5.46823873e-05
2.38895682e+00 -1.15256510e+00 7.15207966e-02 -1.64127133e-02 -4.84329716e-04
2.41958447e+00 1.09248398e+00 -3.43802905e-02 -1.52751869e-02 -9.53035892e-04
2.45021212e+00 -4.98376292e-01 6.60003656e-02 -1.43067382e-02 -1.42174207e-03
2.48083977e+00 9.01021186e-01 2.02080794e-02 -1.16663760e-02 -1.81233055e-03
2.51146743e+00 -1.74621119e+00 1.02996568e-01 -7.89290700e-03 -2.12480133e-03
2.54209508e+00 2.00533176e+00 -5.74504750e-02 -6.49793713e-03 -2.32009557e-03
2.57272273e+00 -8.37126782e-01 1.26805332e-01 -4.37376074e-03 -2.51538981e-03
2.60335038e+00 -1.63218945e-02 4.98876497e-02 1.03793033e-03 -2.55444866e-03
2.63397803e+00 -4.57082906e-01 4.83879459e-02 4.04788103e-03 -2.47633097e-03
2.66460568e+00 4.85156251e-01 6.38981798e-03 5.72559529e-03 -2.32009557e-03
2.69523334e+00 -1.24044833e-01 5.09674078e-02 7.48231242e-03 -2.12480133e-03
2.72586099e+00 -1.34847418e+00 3.95698020e-02 1.02552545e-02 -1.85138940e-03
2.75648864e+00 2.79894704e+00 -8.43319903e-02 8.88429383e-03 -1.53891861e-03
2.78711629e+00 -3.04982764e+00 1.72843534e-01 1.15951945e-02 -1.26550668e-03
2.81774394e+00 1.24337995e+00 -1.07383642e-01 1.36000773e-02 -8.35859348e-04
2.84837159e+00 -5.64194870e-01 6.86178153e-03 1.05213288e-02 -4.84329716e-04
2.87899924e+00 1.01339954e+00 -4.49781101e-02 9.35391516e-03 -1.71858931e-04
2.90962690e+00 -2.12990601e+00 4.81360335e-02 9.45063494e-03 1.01553005e-04
2.94025455e+00 2.06823544e+00 -1.47566024e-01 6.40532784e-03 3.74964941e-04
2.97088220e+00 -7.05046690e-01 4.24695594e-02 3.18646995e-03 4.92141485e-04
3.00150985e+00 -3.09636052e-01 -2.23122137e-02 3.80384211e-03 6.09318029e-04
3.06276515e+00 1.08241268e+00 -7.92127643e-02 -2.41510118e-03 6.87435725e-04
3.09339281e+00 -1.59893002e+00 2.02425107e-02 -4.22122156e-03 5.70259181e-04
3.12402046e+00 1.23481562e+00 -1.26671904e-01 -7.48090394e-03 4.14023789e-04
3.15464811e+00 7.38159340e-01 -1.32133965e-02 -1.17652622e-02 1.01553005e-04
3.18527576e+00 -1.46845845e+00 5.46108646e-02 -1.04973550e-02 -2.49976627e-04
3.21590341e+00 -3.02314610e-01 -8.03154364e-02 -1.12846256e-02 -5.62447412e-04
3.24653106e+00 2.67771689e+00 -1.08092996e-01 -1.70551334e-02 -9.92094740e-04
3.27715871e+00 -2.25156934e+00 1.37943543e-01 -1.61408813e-02 -1.53891861e-03
3.30778637e+00 8.90571422e-01 -6.89373005e-02 -1.40273821e-02 -1.96856594e-03
3.33841402e+00 -1.31071635e+00 1.28910331e-02 -1.57439477e-02 -2.43727212e-03
3.36904167e+00 4.35229396e+00 -1.07541457e-01 -1.86428679e-02 -2.94503714e-03
3.39966932e+00 -5.22248137e+00 2.92360171e-01 -1.29823047e-02 -3.49186101e-03
3.43029697e+00 2.94265884e+00 -1.87496847e-01 -9.77058738e-03 -3.76527295e-03
3.46092462e+00 2.49332321e-01 8.28833416e-02 -1.29746534e-02 -4.15586143e-03
3.49155228e+00 -1.22099360e+00 1.05792732e-01 -7.19594834e-03 -4.46833222e-03
3.52217993e+00 5.56150263e-01 -6.39576715e-03 -4.15165274e-03 -4.62456761e-03
3.55280758e+00 3.55889809e-01 4.47049622e-02 -2.97833206e-03 -4.74174415e-03
3.58343523e+00 7.39285033e-01 7.74051694e-02 7.61614497e-04 -4.78080300e-03
3.61406288e+00 -3.31302994e+00 1.45332863e-01 7.58355732e-03 -4.66362646e-03
3.64469053e+00 2.99635387e+00 -1.59078117e-01 7.16257245e-03 -4.39021452e-03
3.67531818e+00 -5.15401944e-01 1.16235729e-01 5.85041073e-03 -4.23397913e-03
3.70594584e+00 -9.34746092e-01 6.88790760e-02 1.15200425e-02 -3.96056719e-03
3.73657349e+00 1.75894517e-01 -1.70081568e-02 1.31087269e-02 -3.56997871e-03
3.76720114e+00 2.31168026e-01 -8.46448887e-04 1.25618823e-02 -3.17939023e-03
3.79782879e+00 2.58930646e-01 2.03939523e-02 1.31605764e-02 -2.78880175e-03
3.82845644e+00 -1.26689061e+00 4.41852652e-02 1.51384862e-02 -2.35915442e-03
3.85908409e+00 7.30140001e-01 -7.22203874e-02 1.42798362e-02 -1.89044825e-03
3.88971175e+00 -2.94172126e-01 -5.13296682e-03 1.19106846e-02 -1.49985976e-03
3.92033940e+00 4.46548503e-01 -3.21623709e-02 1.07684160e-02 -1.14833013e-03
3.95096705e+00 -1.49202188e+00 8.86782489e-03 1.00549588e-02 -8.35859348e-04
3.98159470e+00 2.80254450e+00 -1.28223554e-01 6.39937312e-03 -5.62447412e-04
4.01222235e+00 -2.92066980e+00 1.29282515e-01 6.43180660e-03 -4.06212020e-04
4.04285000e+00 7.23151104e-01 -1.39077256e-01 6.13181671e-03 -1.71858931e-04
4.07347765e+00 2.80653864e-02 -7.26319955e-02 -3.52340456e-04 -9.37412353e-05
4.10410531e+00 1.88358188e+00 -7.00532649e-02 -4.72245489e-03 -1.71858931e-04
4.13473296e+00 -3.48390112e+00 1.03015804e-01 -3.71288973e-03 -3.28094324e-04
4.16536061e+00 3.89503900e+00 -2.17095325e-01 -7.20687755e-03 -4.45270868e-04
4.19598826e+00 -2.57977402e+00 1.40792367e-01 -9.54385795e-03 -7.57741652e-04
4.22661591e+00 9.86068008e-01 -9.62448920e-02 -8.17947341e-03 -9.92094740e-04
4.25724356e+00 -5.00074782e-03 -5.64205001e-03 -1.13000312e-02 -1.30456552e-03
4.28787122e+00 3.93432249e-01 -6.10153350e-03 -1.16597095e-02 -1.65609516e-03
4.31849887e+00 -2.09230983e-01 3.00481840e-02 -1.09262799e-02 -2.00762479e-03
4.34912652e+00 -9.16005581e-01 1.08234230e-02 -9.67447854e-03 -2.32009557e-03
4.37975417e+00 2.51375604e+00 -7.33418762e-02 -1.15892719e-02 -2.63256636e-03
4.41038182e+00 -2.34153226e+00 1.57629456e-01 -9.00774131e-03 -2.98409599e-03
4.44100947e+00 1.41438393e+00 -5.75174462e-02 -5.94154555e-03 -3.17939023e-03
4.47163712e+00 -5.97008937e-01 7.24403285e-02 -5.48449271e-03 -3.37468447e-03
4.50226478e+00 9.73651818e-01 1.75853834e-02 -2.72721658e-03 -3.49186101e-03
4.53289243e+00 -1.93810107e+00 1.07047389e-01 1.08999255e-03 -3.53091986e-03
4.56352008e+00 2.70026066e+00 -7.10310633e-02 2.19308802e-03 -3.45280217e-03
4.59414773e+00 -2.06545522e+00 1.77076864e-01 5.44102185e-03 -3.37468447e-03
4.62477538e+00 1.23571178e-01 -1.27032647e-02 1.04753992e-02 -3.10127253e-03
4.65540303e+00 2.11673247e-01 -1.34917974e-03 1.00450058e-02 -2.78880175e-03
4.68603069e+00 1.74873036e+00 1.80999836e-02 1.05580436e-02 -2.47633097e-03
4.71665834e+00 -4.48760017e+00 1.78778496e-01 1.65879691e-02 -2.08574249e-03
4.74728599e+00 3.96619494e+00 -2.33555467e-01 1.49102791e-02 -1.53891861e-03
4.77791364e+00 -5.01201465e-01 1.30870243e-01 1.17652719e-02 -1.18738898e-03
4.80854129e+00 -3.32088635e+00 8.48183715e-02 1.83713076e-02 -7.18682804e-04
4.83916894e+00 1.54927146e+00 -2.20314478e-01 1.42213800e-02 -1.71858931e-04
4.86979659e+00 5.28078410e+00 -7.79628386e-02 5.08584633e-03 1.01553005e-04
4.90042425e+00 -6.96266167e+00 4.07251207e-01 1.51711757e-02 3.35906093e-04
4.93105190e+00 -8.84251862e-02 -2.32498719e-01 2.05234340e-02 9.82547022e-04
4.96167955e+00 4.14420213e+00 -2.40623487e-01 6.03281198e-03 1.39049499e-03
4.99230720e+00 -2.28918966e+00 1.40158049e-01 2.95579158e-03 1.46861269e-03
5.02293485e+00 -4.25432569e-01 -7.01794598e-02 5.09907144e-03 1.62484808e-03
5.05356250e+00 -8.75718652e-02 -1.09269461e-01 -3.97027586e-04 1.70296577e-03
5.08419016e+00 4.85421183e+00 -1.17315823e-01 -7.33680272e-03 1.58578923e-03
5.11481781e+00 -9.81279458e+00 3.28703502e-01 -8.62494542e-04 1.39049499e-03
5.14544546e+00 7.20702119e+00 -5.72925057e-01 -8.34242724e-03 1.39049499e-03
5.17607311e+00 1.37716880e+00 8.92773438e-02 -2.31554209e-02 8.04612270e-04
5.20670076e+00 -3.19921553e+00 2.15815682e-01 -1.38111380e-02 2.18729549e-04
5.23732841e+00 -8.15782074e-01 -7.81376932e-02 -9.59438452e-03 -9.37412353e-05
5.26795606e+00 2.38385203e+00 -1.53094160e-01 -1.66764732e-02 -4.84329716e-04
5.29858372e+00 -5.62642445e-01 6.59412073e-02 -1.93457634e-02 -1.07021244e-03
5.32921137e+00 -1.33282250e-01 1.42439571e-02 -1.68898802e-02 -1.61703631e-03
5.35983902e+00 -2.63725820e-01 1.99759010e-03 -1.63924397e-02 -2.12480133e-03
5.39046667e+00 1.18818553e+00 -2.22343175e-02 -1.70122432e-02 -2.63256636e-03
5.42109432e+00 -4.10524507e-01 8.69396798e-02 -1.50304699e-02 -3.14033138e-03
5.45172197e+00 -9.05584770e-01 4.92194751e-02 -1.08602347e-02 -3.53091986e-03
5.48234963e+00 1.31386906e+00 -3.39883292e-02 -1.03937405e-02 -3.84339065e-03
5.51297728e+00 -2.71399653e-01 8.67338416e-02 -8.77826931e-03 -4.15586143e-03
5.54360493e+00 -2.28270443e-01 6.17968396e-02 -4.22912337e-03 -4.35115567e-03
5.57423258e+00 1.18448142e+00 4.08226768e-02 -1.08612858e-03 -4.42927337e-03
5.60486023e+00 -1.79066072e+00 1.49656330e-01 4.74779606e-03 -4.39021452e-03
5.63548788e+00 5.40172401e-01 -1.48748681e-02 8.87583570e-03 -4.15586143e-03
5.66611553e+00 9.89468384e-01 3.47577681e-02 9.48480224e-03 -3.88244950e-03
5.69674319e+00 -1.77905141e+00 1.25673047e-01 1.43984213e-02 -3.53091986e-03
5.72737084e+00 2.04824544e+00 -3.77914528e-02 1.70900282e-02 -3.02315484e-03
5.75799849e+00 -3.69493582e+00 1.50407390e-01 2.05391899e-02 -2.47633097e-03
5.78862614e+00 5.93401153e+00 -1.89094231e-01 1.93543028e-02 -1.81233055e-03
5.81925379e+00 -1.05246294e+01 3.56140281e-01 2.44705310e-02 -1.22644783e-03
5.84988144e+00 1.44125499e+01 -6.10893767e-01 1.66680300e-02 -4.45270868e-04
5.88050910e+00 -6.93173809e+00 7.13373905e-01 1.98067560e-02 -9.37412353e-05
5.91113675e+00 -9.38329104e+00 7.64653278e-02 4.39976768e-02 9.82924402e-04
5.94176440e+00 1.27827051e+01 -7.85699177e-01 2.22755096e-02 2.13261310e-03
5.97239205e+00 -4.45001737e+00 3.88813535e-01 1.01198344e-02 2.44508389e-03
6.00301970e+00 -4.20624679e-01 -2.00672091e-02 2.14136684e-02 2.99190776e-03
6.03364735e+00 6.94527022e-01 -5.87154474e-02 1.90007407e-02 3.61684933e-03
6.06427500e+00 -2.35748341e+00 5.09974746e-03 1.73586177e-02 4.16367320e-03
6.09490266e+00 3.29741755e+00 -2.11512794e-01 1.10366708e-02 4.63237938e-03
6.12553031e+00 -1.31570593e+00 9.14636736e-02 7.35984822e-03 4.86673247e-03
6.15615796e+00 -7.53588348e-01 -2.94272750e-02 9.25987741e-03 5.14014440e-03
6.18678561e+00 2.51567528e-01 -9.86691990e-02 5.33658324e-03 5.37449749e-03
6.21741326e+00 -2.52681763e-01 -7.55544313e-02 5.22605909e-07 5.45261519e-03
6.24804091e+00 2.11865679e+00 -9.87715782e-02 -5.33867367e-03 5.37449749e-03
6.27866857e+00 -2.78395633e+00 9.58968675e-02 -5.42671931e-03 5.17920325e-03
6.30929622e+00 2.21968222e+00 -1.59901266e-01 -7.38702372e-03 5.02296786e-03
6.33992387e+00 -6.56783480e-01 4.40496946e-02 -1.09352853e-02 4.71049707e-03
6.37055152e+00 -9.52045566e-01 -1.62975121e-02 -1.00853011e-02 4.39802629e-03
6.40117917e+00 1.74597121e+00 -1.03774272e-01 -1.37628179e-02 4.04649666e-03
6.43180682e+00 -5.93850219e-01 5.66507220e-02 -1.52061015e-02 3.57779048e-03
6.46243447e+00 -7.30067602e-01 2.08600928e-03 -1.34071334e-02 3.14814315e-03
6.49306213e+00 7.95126097e-01 -6.49947591e-02 -1.53338807e-02 2.71849582e-03
6.52368978e+00 2.98755228e+00 8.06377597e-03 -1.70775430e-02 2.21073080e-03
6.55431743e+00 -7.30734615e+00 2.82568906e-01 -8.17614645e-03 1.78108347e-03
6.58494508e+00 4.03671030e+00 -3.88851648e-01 -1.14313372e-02 1.58578923e-03
6.61557273e+00 4.75547760e+00 -1.79467786e-02 -2.38906177e-02 9.86886894e-04
6.64620038e+00 -6.74465350e+00 4.19000554e-01 -1.16072824e-02 3.74964941e-04
6.67682804e+00 2.28384319e+00 -2.00718138e-01 -4.92180464e-03 2.18729549e-04
6.70745569e+00 1.68777255e+00 9.12812184e-03 -1.07897569e-02 -5.46823873e-05
6.73808334e+00 -3.59694434e+00 1.64205651e-01 -5.48095051e-03 -3.28094324e-04
6.76871099e+00 3.18352393e+00 -1.66292222e-01 -5.54485730e-03 -4.45270868e-04
6.79933864e+00 -9.80167783e-01 1.26219362e-01 -6.77219490e-03 -6.79623956e-04
6.82996629e+00 -6.22350063e-01 3.61586503e-02 -1.79893772e-03 -7.96800500e-04
6.86059394e+00 7.50573501e-01 -2.10247123e-02 -1.33542073e-03 -8.35859348e-04
6.89122160e+00 -1.02044668e+00 4.79401987e-02 -5.11062594e-04 -8.74918196e-04
6.92184925e+00 1.97171594e+00 -4.58214570e-02 -4.46170512e-04 -8.74918196e-04
6.95247690e+00 -1.46187364e+00 1.35345629e-01 2.29574464e-03 -8.74918196e-04
7.01373220e+00 1.77104229e+00 -1.33296909e-01 2.42123966e-03 -5.62447412e-04
7.04435985e+00 -1.50860866e-01 2.94316901e-02 -7.59908056e-04 -5.62447412e-04
7.07498751e+00 -1.95543232e-02 1.55701480e-02 6.18392562e-04 -5.62447412e-04
7.62628523e+00 5.93853456e-01 -1.67706138e-02 -4.34215220e-05 1.23425960e-03
7.65691288e+00 -5.14641069e-01 3.77943963e-02 6.00487561e-04 1.23425960e-03
7.68754054e+00 1.05213555e-01 -9.49234571e-03 1.46731290e-03 1.27331845e-03
7.71816819e+00 9.37868500e-02 1.74986565e-04 1.18194407e-03 1.31237729e-03
7.74879584e+00 -4.80360955e-01 8.79239945e-03 1.45659405e-03 1.35143614e-03
7.77942349e+00 4.68159704e-01 -3.53445844e-02 6.43362981e-04 1.39049499e-03
7.81005114e+00 -3.27805938e-02 7.67131243e-03 -2.04204349e-04 1.39049499e-03
7.84067879e+00 -3.37037329e-01 4.65933463e-03 1.73454413e-04 1.39049499e-03
7.87130645e+00 5.84898903e-02 -2.63086509e-02 -4.89613303e-04 1.39049499e-03
8.17758296e+00 -7.41061540e-01 2.74335885e-02 -1.45071358e-04 4.53082637e-04
8.20821061e+00 5.54384251e-01 -4.06573354e-02 -5.50083671e-04 4.53082637e-04
8.23883826e+00 -1.16978196e-01 1.02811275e-02 -1.48043558e-03 4.14023789e-04
8.26946592e+00 1.27302580e+00 -4.67174757e-04 -1.17985725e-03 3.74964941e-04
8.30009357e+00 -1.17511431e+00 1.16502197e-01 2.37402298e-03 3.74964941e-04
8.36134887e+00 -3.97860821e-01 -9.94437527e-02 3.41894316e-03 6.87435725e-04
8.39197652e+00 8.48302776e+00 -1.36000380e-01 -3.79215771e-03 6.87435725e-04
8.42260417e+00 -1.31417912e+01 6.43445274e-01 1.17496877e-02 6.87435725e-04
8.45323182e+00 7.37771100e+00 -5.64061333e-01 1.41810314e-02 1.27331845e-03
8.48385948e+00 -5.50855621e-02 1.13824551e-01 3.91336104e-04 1.39049499e-03
8.51448713e+00 -1.71937968e+00 1.08763127e-01 7.20867397e-03 1.50767153e-03
8.54511478e+00 1.35117972e-01 -4.92185583e-02 9.03238428e-03 1.78108347e-03
8.57574243e+00 1.17890780e+00 -3.68035198e-02 6.39773005e-03 2.01543656e-03
8.60637008e+00 -7.72257365e-01 7.15180119e-02 7.46095341e-03 2.21073080e-03
8.63699773e+00 -8.08872870e-01 5.60723469e-04 9.66855580e-03 2.48414274e-03
8.66762539e+00 -7.07429523e-02 -7.37609057e-02 7.42660613e-03 2.75755467e-03
8.69825304e+00 2.45134194e+00 -8.02609772e-02 2.70927756e-03 2.91379006e-03
8.72888069e+00 -2.93713850e+00 1.44975563e-01 4.69133336e-03 2.99190776e-03
8.75950834e+00 1.14022846e+00 -1.24897400e-01 5.30628036e-03 3.18720200e-03
8.79013599e+00 -2.64278056e-01 -2.01298405e-02 8.64436575e-04 3.26531970e-03
8.82076364e+00 -8.31162316e-02 -4.44124891e-02 -1.11234341e-03 3.26531970e-03
8.85139129e+00 5.96742982e-01 -5.20494541e-02 -4.06674619e-03 3.18720200e-03
8.88201895e+00 -9.44358432e-01 2.78105429e-03 -5.57572157e-03 3.03096661e-03
8.91264660e+00 1.82119348e+00 -8.39893887e-02 -8.06294214e-03 2.83567237e-03
8.94327425e+00 -3.62142096e+00 8.33472492e-02 -8.08260936e-03 2.56226043e-03
